제품명,급여구분,특정연령,특정연령단위,업체명,금기연령층
대웅벤라팍신서방캡슐(벤라팍신염산염)_(42.42mg/1캡슐),비급여,18,세 미만,(주)대웅제약,청소년
보세틴정5밀리그램(보티옥세틴브롬화수소산염)_(6.355mg/1정),비급여,18,세 미만,명인제약(주),청소년
보세틴정10밀리그램(보티옥세틴브롬화수소산염)_(12.71mg/1정),비급여,18,세 미만,명인제약(주),청소년
보세틴정15밀리그램(보티옥세틴브롬화수소산염)_(19.065mg/1정),비급여,18,세 미만,명인제약(주),청소년
보세틴정20밀리그램(보티옥세틴브롬화수소산염)_(25.42mg/1정),비급여,18,세 미만,명인제약(주),청소년
메타리빈액0.1%(자일로메타졸린염산염)_(15mg/15mL),비급여,12,세 미만,태극제약(주),소아
코메키나나잘스프레이0.1%(자일로메타졸린염산염)_(15mg/15mL),비급여,12,세 미만,(주)대웅제약,소아
콜대원코나나잘스프레이(자일로메타졸린염산염)_(15mg/15mL),비급여,12,세 미만,대원제약(주),소아
오트리빈0.05%비강분무액(자일로메타졸린염산염)_(5mg/10mL),비급여,2,세 미만,(주)글락소스미스클라인컨슈머헬스케어코리아,영유아
화이투벤나잘스프레이0.05%(자일로메타졸린염산염)_(5mg/10mL),비급여,2,세 미만,(주)셀트리온제약,영유아
시노카자일로나잘스프레이액0.05%(자일로메타졸린염산염)_(9mg/18mL),비급여,2,세 미만,현대약품(주),영유아
토피아정(토피라메이트)_(25mg/1정),비급여,2,세 미만,(주)서흥,영유아
오트리빈멘톨0.1%분무제(자일로메타졸린염산염)_(10mg/10mL),비급여,12,세 미만,(주)글락소스미스클라인컨슈머헬스케어코리아,소아
비쿨롱점비액(자일로메타졸린염산염)_(10mg/10mL),비급여,12,세 미만,신신제약(주),소아
자이프렉사정2.5밀리그램(올란자핀)_(2.5mg/1정),급여,13,세 미만,(주)보령,청소년
올자핀정2.5밀리그램(올란자핀)_(2.5mg/1정),급여,13,세 미만,동화약품(주),청소년
산도스올란자핀정2.5밀리그램_(2.5mg/1정),급여,13,세 미만,삼일제약(주),청소년
"휴온스트라마돌염산염주사(수출명:TIMADOLInj.,TAMADOLINJ.)_(50mg/1mL)",급여,12,세 미만,(주)휴온스,소아
휴메딕스트라마돌염산염주_(50mg/1mL),급여,12,세 미만,(주)휴메딕스,소아
트라놀주(트라마돌염산염)_(50mg/1mL),급여,12,세 미만,(주)테라젠이텍스,소아
케이에스트라마돌염산염주_(0.1g/2mL),급여,12,세 미만,주식회사케이에스제약,소아
트리돌주100밀리그램(트라마돌염산염)_(0.1g/2mL),급여,12,세 미만,(주)유한양행,소아
도란찐주100밀리그람(트라마돌염산염)_(0.1g/2mL),급여,12,세 미만,삼성제약(주),소아
탄돌주100밀리그람(트라마돌염산염)(수출명:DAEHWATRAMADOLHCL)_(0.1g/2mL),급여,12,세 미만,대화제약(주),소아
트라톨주(트라마돌염산염)_(0.1g/2mL),급여,12,세 미만,(주)씨엠지제약,소아
트라주50mg/mL(트라마돌염산염)_(0.1g/2mL),급여,12,세 미만,하나제약(주),소아
졸민정0.125밀리그람(트리아졸람)_(0.125mg/1정),급여,18,세 이하,명인제약(주),청소년
트리람정0.125밀리그램(트리아졸람)_(0.125mg/1정),급여,18,세 이하,환인제약(주),청소년
졸민정0.25밀리그램(트리아졸람)_(0.25mg/1정),급여,18,세 이하,명인제약(주),청소년
트리람정0.25밀리그램(트리아졸람)_(0.25mg/1정),급여,18,세 이하,환인제약(주),청소년
"이팩사엑스알서방캡슐75밀리그램_(벤라팍신염산염, 84.85mg/1캡슐)",급여,18,세 미만,비아트리스코리아(주),청소년
벤팍신서방캡슐75밀리그램(벤라팍신염산염)_(84.84mg/1캡슐),급여,18,세 미만,영진약품(주),청소년
베넥사엑스알서방캡슐75mg(벤라팍신염산염)_(84.84mg/1캡슐),급여,18,세 미만,한림제약(주),청소년
벤라팩트서방캡슐(벤라팍신염산염)_(84.84mg/1캡슐),급여,18,세 미만,삼천당제약(주),청소년
코팩사엑스알서방캡슐75mg(벤라팍신염산염)_(84.84mg/1캡슐),급여,18,세 미만,명인제약(주),청소년
포폴주사(프로포폴)(바이알)_(0.12g/12mL),비급여,36,개월 미만,동국제약(주),영유아
올앳스정50밀리그램(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,주식회사 더유제약,청소년
실데나킴정50밀리그램(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,(주)킴스제약,청소년
비아그라정50밀리그람(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,비아트리스코리아(주),청소년
비스트라정50mg(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,(주)휴비스트제약,청소년
누리그라정50밀리그램(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,(주)대웅제약,청소년
누리그라츄정50밀리그램(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,(주)대웅제약,청소년
일양실데나필정50밀리그램(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,일양약품(주),청소년
오바램정50밀리그램(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,(주)보령,청소년
이디포스정50mg(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,(주)유한양행,청소년
부광실데나필정50밀리그램_(70.23mg/1정),비급여,18,세 이하,부광약품(주),청소년
센글라정50밀리그램(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,(주)종근당,청소년
팔팔정50밀리그램(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,한미약품(주),청소년
발그리아정50밀리그램(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,제이더블유신약(주),청소년
아네르츄정50밀리그램(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,한국유나이티드제약(주),청소년
바미라크정50밀리그램(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,대화제약(주),청소년
해피그라정50밀리그램(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,삼진제약(주),청소년
포르테브이정50밀리그램(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,경동제약(주),청소년
그대로필정50밀리그램(실데나필시트르산염)_(70.23mg/1정),비급여,18,세 이하,(주)씨엠지제약,청소년
